name,x1,x2,y1,y2,classname
2756.png,69,126,294,392,face_with_mask
2756.png,505,10,723,283,face_with_mask
4591.png,239,9,522,342,face_with_mask
4287.png,80,0,629,599,face_with_mask
4893.png,179,8,664,599,face_with_mask
1987.jpg,365,67,464,199,face_with_mask
4070.png,154,15,493,485,face_with_mask
3754.png,538,51,692,257,face_with_mask
3673.png,119,26,389,379,face_with_mask
1926.jpg,442,84,805,489,face_with_mask
4650.png,524,287,652,384,face_with_mask
4650.png,58,6,186,132,face_with_mask
4650.png,251,36,286,76,face_with_mask
3939.png,717,118,762,180,face_with_mask
3939.png,674,134,714,174,face_with_mask
3939.png,88,12,160,114,face_with_mask
3939.png,62,64,107,163,face_with_mask
4415.png,131,8,382,297,face_with_mask
3283.png,45,27,425,476,face_with_mask
2588.png,153,196,407,588,face_with_mask
2618.png,348,3,518,223,face_with_mask
4394.png,6,86,336,481,face_with_mask
2407.png,194,10,555,514,face_with_mask
4356.png,113,32,302,263,face_with_mask
4356.png,768,287,845,396,face_with_mask
4356.png,806,306,954,462,face_with_mask
4356.png,634,221,695,301,face_with_mask
4356.png,348,33,437,134,face_with_mask
4356.png,497,235,581,356,face_with_mask
4356.png,599,201,647,269,face_with_mask
2614.png,250,8,466,285,face_with_mask
4997.jpg,391,56,613,367,face_with_mask
4997.jpg,61,89,138,174,face_with_mask
3793.png,337,117,688,529,face_with_mask
2275.png,120,137,194,215,face_with_mask
4921.png,552,169,809,468,face_with_mask
4040.png,260,23,383,177,face_with_mask
4040.png,860,173,915,252,face_with_mask
4040.png,486,129,561,204,face_with_mask
4040.png,715,170,770,232,face_with_mask
4040.png,905,135,967,201,face_with_mask
2732.png,39,133,103,212,face_with_mask
2732.png,244,136,278,184,face_with_mask
2732.png,416,141,480,221,face_with_mask
2732.png,1,151,29,196,face_with_mask
2965.png,159,89,490,586,face_with_mask
5212.jpg,1657,3208,2015,3625,face_with_mask
4125.png,159,71,454,520,face_with_mask
3160.png,63,6,397,398,face_with_mask
4221.png,0,40,252,343,face_with_mask
4221.png,298,120,524,499,face_with_mask
4221.png,287,119,520,499,face_with_mask
4221.png,0,41,251,343,face_with_mask
6403.png,612,0,1112,779,face_with_mask
4019.png,207,123,296,242,face_with_mask
4931.png,133,67,486,407,face_with_mask
4729.png,869,122,1016,292,face_with_mask
4729.png,261,47,382,225,face_with_mask
4538.png,0,38,211,345,face_with_mask
4538.png,322,51,523,325,face_with_mask
4538.png,192,178,376,446,face_with_mask
2194.png,230,58,399,254,face_with_mask
4153.png,495,99,712,364,face_with_mask
4153.png,290,92,481,322,face_with_mask
4153.png,74,203,272,394,face_with_mask
3337.png,231,3,673,389,face_with_mask
3369.png,97,4,371,268,face_with_mask
3369.png,185,166,513,596,face_with_mask
4674.png,9,184,146,380,face_with_mask
4674.png,318,108,445,294,face_with_mask
4674.png,221,138,320,287,face_with_mask
3166.png,64,126,449,464,face_with_mask
4031.png,47,3,356,365,face_with_mask
2492.png,157,98,202,152,face_with_mask
2492.png,349,80,387,126,face_with_mask
2492.png,304,88,331,129,face_with_mask
2388.png,139,39,346,277,face_with_mask
3082.png,494,32,561,120,face_with_mask
3082.png,377,49,453,132,face_with_mask
3082.png,23,26,98,120,face_with_mask
3082.png,621,106,692,185,face_with_mask
3082.png,588,89,645,156,face_with_mask
1969.jpg,388,77,489,210,face_with_mask
1969.jpg,683,104,784,242,face_with_mask
5119.png,81,7,322,319,face_with_mask
2828.png,3,0,535,331,face_with_mask
3467.png,638,6,892,289,face_with_mask
3467.png,218,41,367,235,face_with_mask
3466.png,464,124,611,304,face_with_mask
3466.png,263,164,338,328,face_with_mask
2028.jpg,300,113,603,493,face_with_mask
3748.png,239,28,624,551,face_with_mask
3121.png,233,21,429,264,face_with_mask
3355.png,136,259,276,408,face_with_mask
4437.png,245,89,443,323,face_with_mask
4507.png,172,13,366,249,face_with_mask
4406.png,278,42,522,405,face_with_mask
4406.png,4,146,258,481,face_with_mask
3877.png,388,137,681,515,face_with_mask
3877.png,238,161,420,417,face_with_mask
3877.png,2,58,245,412,face_with_mask
2431.png,453,254,525,387,face_with_mask
2431.png,285,261,376,376,face_with_mask
2431.png,367,218,443,305,face_with_mask
2431.png,284,192,327,241,face_with_mask
2431.png,439,177,478,221,face_with_mask
2431.png,329,206,380,277,face_with_mask
2016.jpg,1330,627,1610,955,face_with_mask
2016.jpg,886,649,1111,928,face_with_mask
2016.jpg,442,484,716,864,face_with_mask
2016.jpg,1601,314,1791,542,face_with_mask
2016.jpg,727,268,997,591,face_with_mask
2016.jpg,0,200,241,516,face_with_mask
2016.jpg,1076,196,1246,432,face_with_mask
2016.jpg,1918,321,2109,594,face_with_mask
2016.jpg,1351,376,1542,605,face_with_mask
2016.jpg,540,202,747,470,face_with_mask
2016.jpg,296,346,542,641,face_with_mask
4223.png,3,2,872,700,face_with_mask
4223.png,34,2,907,686,face_with_mask
6424.png,69,28,381,442,face_with_mask
4920.png,37,100,230,318,face_with_mask
5027.jpg,365,12,526,203,face_with_mask
3225.png,25,19,331,423,face_with_mask
3542.png,83,70,459,531,face_with_mask
2433.png,30,204,169,367,face_with_mask
2433.png,436,70,555,183,face_with_mask
1990.jpg,79,317,223,476,face_with_mask
1990.jpg,0,371,46,533,face_with_mask
3624.png,197,24,533,500,face_with_mask
3624.png,429,23,511,119,face_with_mask
4827.png,292,195,386,263,face_with_mask
4644.png,296,9,380,117,face_with_mask
3626.png,177,0,572,388,face_with_mask
4293.png,86,22,361,399,face_with_mask
3894.png,161,21,553,554,face_with_mask
2766.png,163,5,577,563,face_with_mask
3110.png,163,125,226,209,face_with_mask
2473.png,295,4,459,180,face_with_mask
2162.png,172,15,392,329,face_with_mask
5098.jpeg,41,2,123,92,face_with_mask
5098.jpeg,161,8,203,71,face_with_mask
5098.jpeg,203,7,249,90,face_with_mask
5098.jpeg,279,76,305,112,face_with_mask
5098.jpeg,316,70,341,105,face_with_mask
5098.jpeg,348,93,369,113,face_with_mask
5098.jpeg,276,62,298,80,face_with_mask
3838.png,104,23,457,516,face_with_mask
4296.png,554,95,599,155,face_with_mask
4296.png,2,86,80,257,face_with_mask
4296.png,550,96,601,153,face_with_mask
4296.png,782,135,850,217,face_with_mask
3797.png,58,5,349,323,face_with_mask
2598.png,218,3,586,322,face_with_mask
4714.png,200,169,299,269,face_with_mask
3276.png,25,0,400,439,face_with_mask
2579.png,215,10,533,472,face_with_mask
3863.png,265,150,389,317,face_with_mask
3863.png,0,161,40,273,face_with_mask
3863.png,73,171,132,272,face_with_mask
3158.png,76,11,262,265,face_with_mask
2904.png,270,210,311,265,face_with_mask
2904.png,418,176,459,229,face_with_mask
2904.png,12,211,54,263,face_with_mask
2904.png,307,193,337,233,face_with_mask
1874.jpg,688,1667,2113,3113,face_with_mask
5077.jpg,249,221,537,653,face_with_mask
5077.jpg,537,164,626,268,face_with_mask
3157.png,14,3,614,438,face_with_mask
3319.png,5,3,433,496,face_with_mask
3319.png,439,8,715,439,face_with_mask
2363.png,147,207,281,366,face_with_mask
2668.png,248,56,410,251,face_with_mask
2668.png,444,117,584,300,face_with_mask
2143.jpg,257,74,728,623,face_with_mask
2143.jpg,805,124,1079,542,face_with_mask
2143.jpg,1030,30,1726,969,face_with_mask
2143.jpg,2011,430,2124,661,face_with_mask
3635.png,931,187,1069,370,face_with_mask
3635.png,551,187,694,378,face_with_mask
3635.png,340,230,450,370,face_with_mask
3635.png,1059,193,1124,308,face_with_mask
2269.png,162,21,273,204,face_with_mask
2327.png,455,78,492,118,face_with_mask
3588.png,387,1,625,243,face_with_mask
2638.png,113,138,422,619,face_with_mask
3494.png,354,8,452,132,face_with_mask
3494.png,809,18,892,134,face_with_mask
3494.png,12,81,127,228,face_with_mask
3203.png,249,4,507,325,face_with_mask
4199.png,440,178,715,575,face_with_mask
4199.png,142,5,314,198,face_with_mask
2037.jpg,366,81,620,392,face_with_mask
2037.jpg,16,115,256,399,face_with_mask
4397.png,334,8,901,541,face_with_mask
2189.png,218,81,351,244,face_with_mask
3465.png,210,5,448,266,face_with_mask
4177.png,255,138,417,334,face_with_mask
4177.png,543,19,685,190,face_with_mask
2760.png,116,5,526,539,face_with_mask
3371.png,438,206,506,285,face_with_mask
3226.png,102,33,515,597,face_with_mask
4542.png,397,33,560,221,face_with_mask
5155.jpg,783,64,953,261,face_with_mask
5155.jpg,225,0,400,185,face_with_mask
5155.jpg,373,0,497,182,face_with_mask
5155.jpg,918,31,1036,166,face_with_mask
2673.png,315,153,441,363,face_with_mask
3072.png,60,7,538,489,face_with_mask
4342.png,10,102,374,526,face_with_mask
3414.png,80,9,223,186,face_with_mask
