,name,x1,x2,y1,y2,classname
0,2756.png,69,126,294,392,face_with_mask
1,2756.png,505,10,723,283,face_with_mask
7,4591.png,239,9,522,342,face_with_mask
16,4287.png,80,0,629,599,face_with_mask
17,4893.png,179,8,664,599,face_with_mask
19,1987.jpg,365,67,464,199,face_with_mask
23,4070.png,154,15,493,485,face_with_mask
25,3754.png,538,51,692,257,face_with_mask
33,3673.png,119,26,389,379,face_with_mask
35,1926.jpg,442,84,805,489,face_with_mask
37,4650.png,524,287,652,384,face_with_mask
38,4650.png,58,6,186,132,face_with_mask
41,4650.png,251,36,286,76,face_with_mask
44,3939.png,717,118,762,180,face_with_mask
52,3939.png,674,134,714,174,face_with_mask
53,3939.png,88,12,160,114,face_with_mask
54,3939.png,62,64,107,163,face_with_mask
60,4415.png,131,8,382,297,face_with_mask
62,3283.png,45,27,425,476,face_with_mask
65,2588.png,153,196,407,588,face_with_mask
68,2618.png,348,3,518,223,face_with_mask
70,4394.png,6,86,336,481,face_with_mask
76,2407.png,194,10,555,514,face_with_mask
80,4356.png,113,32,302,263,face_with_mask
81,4356.png,768,287,845,396,face_with_mask
82,4356.png,806,306,954,462,face_with_mask
83,4356.png,634,221,695,301,face_with_mask
84,4356.png,348,33,437,134,face_with_mask
85,4356.png,497,235,581,356,face_with_mask
95,4356.png,599,201,647,269,face_with_mask
97,2614.png,250,8,466,285,face_with_mask
103,4997.jpg,391,56,613,367,face_with_mask
107,4997.jpg,61,89,138,174,face_with_mask
111,3793.png,337,117,688,529,face_with_mask
114,2275.png,120,137,194,215,face_with_mask
119,4921.png,552,169,809,468,face_with_mask
121,4040.png,260,23,383,177,face_with_mask
122,4040.png,860,173,915,252,face_with_mask
125,4040.png,486,129,561,204,face_with_mask
126,4040.png,715,170,770,232,face_with_mask
129,4040.png,905,135,967,201,face_with_mask
131,2732.png,39,133,103,212,face_with_mask
132,2732.png,244,136,278,184,face_with_mask
133,2732.png,416,141,480,221,face_with_mask
141,2732.png,1,151,29,196,face_with_mask
